Baseline Fluorescence (mV),Baseline Fluorescence std (mV),Experiment_ID,Tube_Number
335.8333333333333,2.1538079972200146,Exp006E9,7.0
329.6666666666667,1.2472191289246473,Exp006E9,8.0
340.9166666666667,1.0374916331657276,Exp006F12,1.0
311.5833333333333,2.564447092238187,Exp006F12,2.0
314.6666666666667,0.6236095644623235,Exp006F12,3.0
315.5,0.6454972243679028,Exp006F12,4.0
315.0833333333333,0.27638539919628335,Exp006F12,5.0
310.4166666666667,0.4930066485916346,Exp006F12,6.0
318.1666666666667,0.372677996249965,Exp006F12,7.0
327.9166666666667,0.8620067027323833,Exp006F12,8.0
333.5,0.7637626158259734,Exp006F9,1.0
317.5,0.8660254037844386,Exp006F9,2.0
324.6666666666667,0.7453559924999298,Exp006F9,3.0
317.5833333333333,0.7592027982620247,Exp006F9,4.0
324.3333333333333,0.9428090415820632,Exp006F9,5.0
315.6666666666667,0.9428090415820632,Exp006F9,6.0
318.1666666666667,0.9860132971832692,Exp006F9,7.0
328.4166666666667,1.114924013354971,Exp006F9,8.0
339.25,0.5951190357119042,Exp006E12,1.0
317.5,0.6454972243679028,Exp006E12,2.0
326.3333333333333,0.7453559924999298,Exp006E12,3.0
312.6666666666667,0.9428090415820632,Exp006E12,4.0
315.0,0.7071067811865476,Exp006E12,5.0
323.9166666666667,1.0374916331657276,Exp006E12,6.0
318.1666666666667,0.7993052538854531,Exp006E12,7.0
325.6666666666667,0.9428090415820632,Exp006E12,8.0
776.9166666666666,3.0675270532176606,Exp0014E1,1.0
775.0833333333334,1.4409680388158819,Exp0014E1,2.0
707.25,1.8314384146529925,Exp0014E1,3.0
719.0,2.041241452319315,Exp0014E1,4.0
725.8333333333334,2.153807997220014,Exp0014E1,5.0
709.9166666666666,1.0374916331657278,Exp0014E1,6.0
689.6666666666666,1.1785113019775793,Exp0014E1,7.0
671.75,1.5877132402714709,Exp0014E1,8.0
758.0833333333334,1.656217242862649,Exp0014E2,1.0
751.8333333333334,1.1426091000668406,Exp0014E2,2.0
737.0,23.370533117193073,Exp0014E2,3.0
743.6666666666666,1.3123346456686351,Exp0014E2,4.0
732.5833333333334,1.552328000849763,Exp0014E2,5.0
725.8333333333334,1.7240134054647667,Exp0014E2,6.0
696.3333333333334,1.3123346456686351,Exp0014E2,7.0
697.25,1.0897247358851685,Exp0014E2,8.0
749.5,3.452052529534663,Exp0014E3,1.0
768.6666666666666,2.2110831935702664,Exp0014E3,2.0
723.0,1.7795130420052185,Exp0014E3,3.0
727.0,1.7795130420052185,Exp0014E3,4.0
727.0,0.9128709291752769,Exp0014E3,5.0
707.25,2.165063509461097,Exp0014E3,6.0
696.5833333333334,1.6051133570215186,Exp0014E3,7.0
686.75,2.8613807855648994,Exp0014E3,8.0
434.90909090909093,1.9284730395996748,Exp0014E16,1.0
424.0833333333333,0.9537935951882998,Exp0014E16,2.0
414.4166666666667,2.0190069065976197,Exp0014E16,3.0
409.1666666666667,1.950783318453271,Exp0014E16,4.0
415.9166666666667,1.9773017529507788,Exp0014E16,5.0
412.5833333333333,1.8911342863183696,Exp0014E16,6.0
408.8333333333333,1.2133516482134197,Exp0014E16,7.0
386.3333333333333,1.1055415967851332,Exp0014E16,8.0
771.5,1.8929694486000912,Exp0014E4,1.0
755.75,1.920286436967152,Exp0014E4,2.0
713.75,2.384848003542364,Exp0014E4,3.0
733.9166666666666,2.289771944005681,Exp0014E4,4.0
740.0833333333334,2.722080495176846,Exp0014E4,5.0
724.9166666666666,2.253084305765962,Exp0014E4,6.0
720.0,2.581988897471611,Exp0014E4,7.0
683.8333333333334,2.034425935955617,Exp0014E4,8.0
447.5,2.661453237111885,Exp0014E17,1.0
438.1666666666667,2.544056253745625,Exp0014E17,2.0
420.3333333333333,3.5197853469904796,Exp0014E17,3.0
431.6666666666667,2.8674417556808756,Exp0014E17,4.0
430.9166666666667,3.094574104604524,Exp0014E17,5.0
420.0833333333333,3.32812092461931,Exp0014E17,6.0
419.5,2.8136571693556887,Exp0014E17,7.0
398.5833333333333,2.1392496088322392,Exp0014E17,8.0
789.5,2.3979157616563596,Exp0014E5,1.0
758.6666666666666,1.545603082582617,Exp0014E5,2.0
703.1666666666666,2.266911751455907,Exp0014E5,3.0
721.75,1.689427911059441,Exp0014E5,4.0
749.5,1.7559422921421233,Exp0014E5,5.0
718.25,1.8763883748662837,Exp0014E5,6.0
682.0,1.5275252316519468,Exp0014E5,7.0
679.0833333333334,1.114924013354971,Exp0014E5,8.0
436.0,2.6770630673681683,Exp0014E18,1.0
441.5,2.9297326385411577,Exp0014E18,2.0
415.75,3.031088913245535,Exp0014E18,3.0
414.6666666666667,2.173067468400883,Exp0014E18,4.0
421.75,2.277608394786075,Exp0014E18,5.0
411.3333333333333,3.324989557210001,Exp0014E18,6.0
409.4166666666667,2.289771944005681,Exp0014E18,7.0
391.1666666666667,1.6244657241348273,Exp0014E18,8.0
781.1666666666666,2.4094720491334933,Exp0014E6,1.0
765.25,2.680951323690902,Exp0014E6,2.0
719.6666666666666,2.9249881291307074,Exp0014E6,3.0
750.3333333333334,2.6246692913372702,Exp0014E6,4.0
718.9166666666666,3.277660073216189,Exp0014E6,5.0
710.3333333333334,3.6817870057290873,Exp0014E6,6.0
675.5833333333334,2.6912925436591904,Exp0014E6,7.0
688.5833333333334,1.8008485654145256,Exp0014E6,8.0
427.1666666666667,3.0776975521032313,Exp0014E19,1.0
432.5833333333333,2.8418988174966557,Exp0014E19,2.0
